[decomp/ida_decompiled.c:4617]: (error) Array 's[99]' accessed at index 99, which is out of bounds.
[decomp/ida_decompiled.c:4653]: (error) Array 's[99]' accessed at index 99, which is out of bounds.
[decomp/ida_decompiled.c:4685]: (error) Array 's[99]' accessed at index 99, which is out of bounds.
[decomp/ida_decompiled.c:4830]: (error) Array 's[99]' accessed at index 99, which is out of bounds.
[decomp/ida_decompiled.c:4866]: (error) Array 's[99]' accessed at index 99, which is out of bounds.
[decomp/ida_decompiled.c:4898]: (error) Array 's[99]' accessed at index 99, which is out of bounds.
[decomp/ida_decompiled.c:4942]: (error) Array 's[99]' accessed at index 99, which is out of bounds.
[decomp/ida_decompiled.c:4978]: (error) Array 's[99]' accessed at index 99, which is out of bounds.
[decomp/ida_decompiled.c:5283]: (error) Array 's[99]' accessed at index 99, which is out of bounds.
[decomp/ida_decompiled.c:5301]: (error) Array 's[99]' accessed at index 99, which is out of bounds.
[decomp/ida_decompiled.c:5634]: (error) Array 's[99]' accessed at index 99, which is out of bounds.
[decomp/ida_decompiled.c:5662]: (error) Array 's[99]' accessed at index 99, which is out of bounds.
[decomp/ida_decompiled.c:5690]: (error) Array 's[99]' accessed at index 99, which is out of bounds.
[decomp/ida_decompiled.c:5729]: (error) Array 's[99]' accessed at index 99, which is out of bounds.
[decomp/ida_decompiled.c:5761]: (error) Array 's[99]' accessed at index 99, which is out of bounds.
[decomp/ida_decompiled.c:6611]: (error) Array 's[99]' accessed at index 99, which is out of bounds.
[decomp/ida_decompiled.c:6627]: (error) Array 's[99]' accessed at index 99, which is out of bounds.
[decomp/ida_decompiled.c:6787]: (error) Array 's[99]' accessed at index 99, which is out of bounds.
[decomp/ida_decompiled.c:6815]: (error) Array 's[99]' accessed at index 99, which is out of bounds.
[decomp/ida_decompiled.c:6843]: (error) Array 's[99]' accessed at index 99, which is out of bounds.
[decomp/ida_decompiled.c:6972]: (error) Array 's[99]' accessed at index 99, which is out of bounds.
[decomp/ida_decompiled.c:7000]: (error) Array 's[99]' accessed at index 99, which is out of bounds.
[decomp/ida_decompiled.c:7622]: (error) Array 's[99]' accessed at index 99, which is out of bounds.
[decomp/ida_decompiled.c:7658]: (error) Array 's[99]' accessed at index 99, which is out of bounds.
[decomp/ida_decompiled.c:7690]: (error) Array 's[99]' accessed at index 99, which is out of bounds.
[decomp/ida_decompiled.c:7754]: (error) Array 's[99]' accessed at index 99, which is out of bounds.
[decomp/ida_decompiled.c:7788]: (error) Array 's[99]' accessed at index 99, which is out of bounds.
